a,1
a,1
"a,",1
a.,1
a.,1
ac,2
ac,2
ac,2
ac,2
adipiscing,10
adipiscing,10
aliquam,7
aliquam,7
aliquam,7
"aliquam,",7
aliquet,7
aliquet,7
aliquet,7
amet,4
amet,4
amet,4
amet,4
amet,4
"amet,",4
"amet,",4
"amet,",4
"ante,",4
arcu,4
arcu,4
arcu.,4
at,2
at,2
at,2
at.,2
auctor,6
auctor,6
auctor,6
auctor,6
augue,5
augue,5
augue,5
augue,5
bibendum,8
blandit,7
commodo,7
commodo.,7
condimentum,11
condimentum,11
condimentum.,11
condimentum.,11
congue,6
congue,6
consectetur,11
consectetur,11
consectetur,11
consectetur,11
consectetur,11
consectetur,11
consequat,9
consequat.,9
consequat.,9
convallis,9
cras,4
curabitur,9
curabitur,9
curabitur,9
cursus,6
dapibus,7
diam,4
diam,4
diam.,4
diam.,4
dictum.,6
dignissim.,9
dolor,5
dolor,5
donec,5
donec,5
donec,5
donec,5
donec,5
donec,5
dui,3
duis,4
duis,4
efficitur,9
efficitur,9
efficitur,9
"efficitur,",9
egestas,7
egestas,7
eget,4
eget,4
eget,4
eget,4
eget,4
eget,4
eget,4
eget,4
eleifend,8
eleifend,8
elementum,9
elit,4
elit,4
"elit,",4
elit.,4
elit.,4
"enim,",4
enim.,4
erat,4
erat,4
erat,4
"erat,",4
eros,4
eros,4
eros,4
eros,4
eros,4
eros.,4
et,2
et,2
et,2
et.,2
etiam,5
eu,2
eu,2
euismod,7
euismod,7
ex,2
ex,2
ex,2
"ex,",2
"ex,",2
ex.,2
faucibus,8
faucibus,8
faucibus.,8
felis,5
fermentum,9
feugiat,7
finibus,7
fusce,5
fusce,5
fusce,5
gravida,7
hendrerit,9
hendrerit,9
"hendrerit,",9
"hendrerit,",9
iaculis,7
id,2
id,2
id,2
id,2
"id,",2
"id,",2
id.,2
imperdiet,9
imperdiet,9
imperdiet,9
imperdiet,9
"imperdiet,",9
in,2
in,2
in,2
in,2
in.,2
integer,7
integer,7
integer,7
integer,7
interdum,8
interdum,8
interdum,8
interdum.,8
ipsum,5
ipsum,5
ipsum,5
justo,5
justo.,5
justo.,5
lacinia,7
lacinia,7
lacinia.,7
"lacus,",5
"lacus,",5
laoreet,7
laoreet.,7
lectus,6
lectus,6
lectus,6
lectus,6
lectus.,6
lectus.,6
leo,3
leo,3
libero,6
libero,6
"libero,",6
ligula.,6
lobortis,8
lobortis,8
lorem,5
lorem,5
lorem,5
lorem,5
lorem.,5
luctus,6
maecenas,8
magna,5
magna,5
"magna,",5
"magna,",5
malesuada,9
malesuada,9
"malesuada,",9
malesuada.,9
massa,5
massa,5
"massa,",5
"massa,",5
massa.,5
mattis,6
"mattis,",6
mauris,6
mauris,6
mauris,6
mauris,6
mauris,6
mauris,6
mauris,6
mauris.,6
maximus,7
maximus.,7
maximus.,7
metus,5
mi,2
mi,2
molestie,8
molestie,8
mollis,6
mollis,6
morbi,5
morbi,5
morbi,5
nam,3
nec,3
nec,3
nec,3
nec,3
nec,3
nec,3
nec,3
nec,3
nec.,3
nisi,4
nisi,4
nisl,4
non,3
non,3
non,3
non,3
non,3
non,3
non,3
non,3
nulla,5
nulla,5
nulla,5
nulla,5
nulla,5
nulla,5
nullam,6
nunc,4
nunc,4
nunc,4
nunc,4
nunc.,4
odio,4
odio,4
odio,4
"odio,",4
odio.,4
odio.,4
orci,4
orci,4
"orci,",4
orci.,4
ornare,6
"ornare,",6
pellentesque,12
pellentesque,12
pellentesque,12
pellentesque.,12
pharetra,8
pharetra,8
pharetra.,8
phasellus,9
phasellus,9
"placerat,",8
placerat.,8
porta,5
porta,5
porta.,5
porttitor,9
porttitor,9
porttitor,9
posuere,7
praesent,8
proin,5
proin,5
pulvinar,8
pulvinar,8
pulvinar,8
purus,5
"purus,",5
quam,4
quam.,4
quis,4
quis,4
quis,4
quis,4
quis,4
quis,4
"quis,",4
rhoncus,7
rhoncus.,7
rhoncus.,7
risus,5
risus,5
risus,5
risus,5
"risus,",5
risus.,5
rutrum,6
rutrum,6
sagittis,8
sagittis,8
sapien,6
scelerisque,11
scelerisque,11
"scelerisque,",11
sed,3
sed,3
sed,3
sed,3
sed,3
sed,3
sed,3
sed,3
sed,3
sed,3
sem,3
sem,3
sem,3
"sem,",3
semper,6
semper,6
semper,6
sit,3
sit,3
sit,3
sit,3
sit,3
sit,3
sit,3
sit,3
sodales,7
sodales,7
suscipit,8
tellus,6
tellus,6
tellus.,6
tempor,6
tempor,6
tempor,6
tempor,6
"tempor,",6
tincidunt,9
tincidunt,9
tincidunt.,9
tincidunt.,9
tortor,6
tortor,6
tortor,6
tortor.,6
tristique,9
tristique,9
tristique,9
turpis,6
turpis,6
turpis,6
turpis,6
ullamcorper,11
ullamcorper,11
ullamcorper,11
ullamcorper,11
ultrices,8
ultrices.,8
ultricies,9
ultricies,9
urna,4
urna,4
urna,4
urna,4
ut,2
ut,2
ut,2
ut,2
ut,2
ut,2
ut,2
ut,2
"ut,",2
varius,6
varius.,6
vehicula,8
"vehicula,",8
vel,3
velit,5
velit,5
velit,5
velit,5
venenatis,9
venenatis,9
venenatis,9
vestibulum,10
vestibulum,10
vestibulum,10
vestibulum,10
"vitae,",5
viverra,7
viverra,7
viverra,7
viverra,7
viverra,7
"volutpat,",8
vulputate,9
vulputate,9
"vulputate,",9
vulputate.,9
